OMIA_ID	Breed	Gene	Phenotype	NCBI_gene_ID
OMIA_001564-9615	greater_swiss_mountain_dog	P2RY12	Bleeding disorder, P2RY12-related	442958
OMIA_001314-9615	cardigan_welsh_corgi	PDE6A	Rod-cone dysplasia 3	403620
OMIA_001669-9615	sloughi	PDE6B	Rod-cone dysplasia 1a	399653
OMIA_001674-9615	american_staffordshire_terrier	PDE6B	Cone-rod dystrophy 1	399653
OMIA_000882-9615	irish_setter	PDE6B	Rod-cone dysplasia 1	399653
OMIA_001406-9615	clumber_spaniel	PDP1	Pyruvate dehydrogenase deficiency	477941
OMIA_001406-9615	sussex_spaniel	PDP1	Pyruvate dehydrogenase deficiency	477941
OMIA_000421-9615	american_cocker_spaniel	PFKM	Glycogen storage disease VII	403849
OMIA_000421-9615	english_springer_spaniel	PFKM	Glycogen storage disease VII	403849
OMIA_000421-9615	whippet	PFKM	Glycogen storage disease VII	403849
OMIA_000421-9615	wachtelhund	PFKM	Glycogen storage disease VII	403849
OMIA_002084-9615	soft_coated_wheaten_terrier	PIGN	Dyskinesia, paroxysmal, PIGN	476182
OMIA_000807-9615	bull_terrier	PKD1	Polycystic kidney disease	100144606
OMIA_000844-9615	basenji	PKLR	Pyruvate kinase deficiency of erythrocyte	406183
OMIA_000844-9615	west_highland_white_terrier	PKLR	Pyruvate kinase deficiency of erythrocyte	406183
OMIA_000844-9615	pug	PKLR	Pyruvate kinase deficiency of erythrocyte	406183
OMIA_000844-9615	beagle	PKLR	Pyruvate kinase deficiency of erythrocyte	406183
OMIA_000844-9615	labrador_retriever	PKLR	Pyruvate kinase deficiency of erythrocyte	406183
OMIA_001864-9615	chesapeake_bay_retriever	PKP1	Ectodermal dysplasia/skin fragility syndrome	607140
OMIA_001864-9615	golden_retriever	PKP1	Ectodermal dysplasia/skin fragility syndrome	607140
OMIA_002105-9615	papillon	PLA2G6	Neuroaxonal dystrophy, PLA2G6-related	481256
OMIA_002080-9615	eurasier	PLEC	Epidermolysis bullosa, simplex, PLEC	482083
OMIA_002020-9615	scottish_terrier	PLG	Ligneous membranitis	403602
OMIA_002195-9615	welsh_springer_spaniel	PLN	Cardiomyopathy, dilated, PLN-related	NA
OMIA_000770-9615	springer_spaniel	PLP1	Tremor, X-linked	100009169
OMIA_000211-9615	numerous_breeds	PMEL	No Merle pattern – solid coat	481102
OMIA_000211-9615	numerous_breeds	PMEL	No Merle pattern – diluted–brownish hue	481102
OMIA_000211-9615	numerous_breeds	PMEL	Muted, undefined, diluted–brownish hue	481102
OMIA_001588-9615	golden_retriever	PNPLA1	Ichthyosis, PNPLA1-related	481763
OMIA_001258-9615	labrador_retriever	POMC	Obesity	NA
OMIA_001504-9615	dachshund	PPT1	Neuronal ceroid lipofuscinosis, 1	475316
OMIA_001311-9615	miniature_schnauzer	PPT1	Photoreceptor dysplasia	475316
OMIA_001504-9615	italian_cane_corso	PPT1	Neuronal ceroid lipofuscinosis, 1	475316
OMIA_001298-9615	american_cocker_spaniel	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	australian_cattle_dog	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	australian_shepherd	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	australian_stumpy_tail_cattle_dog	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	chesapeake_bay_retriever	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	chinese_crested	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	english_cocker_spaniel	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	entlebucher_mountain_dog	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	finnish_lapphund	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	golden_retriever	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	karelian_bear_dog	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	kuvasz	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	labrador_retriever	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	lapponian_herder 	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	miniature_poodle	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	norwegian_elkhound	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	nova_scotia_duck_tolling_retriever	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	portugese_water_dog	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	spanish_water_dog	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	swedish_lapphund	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	toy_poodle	PRCD	Progressive rod-cone degeneration	100049006
OMIA_001298-9615	yorkshire_terrier	PRCD	Progressive rod-cone degeneration	100049006
OMIA_000220-9615	jack_russell_terrier	PRKDC	Severe combined immunodeficiency disease, autosomal	791233
OMIA_001515-9615	great_dane	PTEN	Colorectal hamartomatous polyposis and ganglioneuromatosis	403832
OMIA_002196-9615	doberman_pinscher	PTPRQ	Deafness, unilateral and vestibular dysfunction	482581
OMIA_001913-9615	gordon_setter	RAB24	Ataxia, cerebellar, in Old English Sheepdogs and Gordon Setters	479277
OMIA_001913-9615	old_english_sheepdog	RAB24	Ataxia, cerebellar, in Old English Sheepdogs and Gordon Setters	479277
OMIA_001970-9615	alaskan_husky	RAB3GAP1	Polyneuropathy, ocular abnormalities and neuronal vacuolation	476127
OMIA_001970-9615	black_russian_terrier	RAB3GAP1	Polyneuropathy, ocular abnormalities and neuronal vacuolation	476127
OMIA_001574-9615	frisian_water_dog	RAG1	Severe combined immunodeficiency disease, autosomal, T cell-negative, B cell-negative, NK cell-positive	483420
OMIA_001003-9615	eskimo_spitz	RASGRP1	Thrombopathia	478255
OMIA_001003-9615	landseer	RASGRP1	Thrombopathia	478255
OMIA_001003-9615	basset_hound	RASGRP1	Thrombopathia	478255
OMIA_002151-9615	irish_soft_coated_wheaten_terrier	RBP4	Microphthalmia, isolated, with coloboma	477775
OMIA_001260-9615	collie	RD3	Rod-cone dysplasia 2	609870
OMIA_001346-9615	english_mastiff	RHO	Autosomal dominant PRA	493763
OMIA_001222-9615	briard	RPE65	Leber congenital amaurosis (congenital stationary night blindness)	403803
OMIA_001518-9615	mongrel	RPGR	Progressive retinal atrophy, X-linked, type 2	403726
OMIA_000831-9615	weimaraner	RPGR	Progressive retinal atrophy, X-linked, type 1	403726
OMIA_000831-9615	samoyed	RPGR	Progressive retinal atrophy, X-linked, type 1	403726
OMIA_000831-9615	siberian_husky	RPGR	Progressive retinal atrophy, X-linked, type 1	403726
OMIA_001432-9615	miniature_long_haired_dachsund	RPGRIP1	Cone-rod dystrophy 4	475400
OMIA_000621-9615	collie	RYR1	Malignant hyperthermia	606491
OMIA_000621-9615	doberman	RYR1	Malignant hyperthermia	606491
OMIA_000621-9615	german_shepherd_dog	RYR1	Malignant hyperthermia	606491
OMIA_000621-9615	labrador_retriever	RYR1	Malignant hyperthermia	606491
OMIA_001876-9615	basenji	SAG	Progressive retinal atrophy, Basenji	403906
OMIA_002016-9615	wire_fox_terrier	SCARF2	Van den Ende-Gupta syndrome	100684936
OMIA_002194-9615	alpine_dachsbracke	SCN8A	Ataxia, spinocerebellar, SCN8A-related	NA
OMIA_001692-9615	finnish_hound	SEL1L	Ataxia, cerebellar, progressive early-onset	480409
OMIA_001483-9615	dachshund	SERPINH1	Osteogenesis imperfecta_Dachshund	485187
OMIA_002122-9615	boston_terrier	SGCD	Muscular dystrophy, limb-girdle, type 2F	101837953
OMIA_001279-9615	scottish_deerhound	SGK3	Hypotrichosis, recessive	486981
OMIA_001279-9615	american_hairless	SGK3	Hypotrichosis, recessive	486981
OMIA_001309-9615	new_zealand_huntaway_dog	SGSH	Mucopolysaccharidosis IIIA	403707
OMIA_001309-9615	dachshund	SGSH	Mucopolysaccharidosis IIIA	403707
OMIA_002208-9615	golden_retriever	SIX6	Eye malformation, congenital	NA
OMIA_001315-9615	miniature_poodle	SLC13A1	Osteochondrodysplasia	101105492
OMIA_001097-9615	alaskan_husky	SLC19A3	Necrotising encephalopathy, subacute, of Leigh	486151
OMIA_001973-9615	great_dane	SLC27A4	Ichthyosis, SLC27A4-related	491317
OMIA_001033-9615	dalmatian	SLC2A9	Urolithiasis	479093
OMIA_000236-9615	cairn_terrier	SLC37A2	Craniomandibular osteopathy	489303
OMIA_000236-9615	scottish_terrier	SLC37A2	Craniomandibular osteopathy	489303
OMIA_000236-9615	west_highland_white_terrier	SLC37A2	Craniomandibular osteopathy	489303
OMIA_001879-9615	australian_cattle_dog	SLC3A1	Cystinuria, type II - A	403700
OMIA_000256-9615	labrador_retriever	SLC3A1	Cystinuria, type I - A	403700
OMIA_000256-9615	newfoundland	SLC3A1	Cystinuria, type I -A	403700
OMIA_001821-9615	doberman_pinscher	SLC45A2	Coat colour, albinism, oculocutaneous type IV	431665
OMIA_001821-9615	lhasa_apso	SLC45A2	Coat colour, albinism, oculocutaneous type IV	431665
OMIA_001821-9615	mixed_breed	SLC45A2	Coat colour, albinism, oculocutaneous type IV	431665
OMIA_001821-9615	pekingese	SLC45A2	Coat colour, albinism, oculocutaneous type IV	431665
OMIA_001821-9615	pomeranian	SLC45A2	Coat colour, albinism, oculocutaneous type IV	431665
OMIA_001821-9615	bullmastiff	SLC45A2	Coat colour, albinism, oculocutaneous type IV	431665
OMIA_001572-9615	golden_retriever	SLC4A3	Golden Retriever PRA 1	488542
OMIA_002174-9615	shih_tzu	SLC5A5	Congenital dyshormonogenic hypothyroidism with goiter	NA
OMIA_001594-9615	irish_wolfhound	SLC6A5	Hyperekplexia (Startle disease)	612095
OMIA_001594-9615	spanish_greyhound	SLC6A5	Hyperekplexia (Startle disease)	612095
OMIA_001880-9615	miniature_pinscher	SLC7A9	Cystinuria, type II - B	484601
OMIA_001551-9615	NA	SMOC2	Brachycephaly	476270
OMIA_002034-9615	vizsla	SNX14	Cerebellar cortical degeneration, Hungarian Vizsla	474985
OMIA_000263-9615	bernese_mountain_dog	SOD1	Degenerative myelopathy	403559
OMIA_000263-9615	boxer	SOD1	Degenerative myelopathy	403559
OMIA_000263-9615	chesapeake_bay_retriever	SOD1	Degenerative myelopathy	403559
OMIA_000263-9615	german_shepherd_dog	SOD1	Degenerative myelopathy	403559
OMIA_000263-9615	pembroke_welsh_corgi	SOD1	Degenerative myelopathy	403559
OMIA_000263-9615	rhodesian_ridgeback	SOD1	Degenerative myelopathy	403559
OMIA_001403-9615	miniature_schnauzer	SPINK1	Pancreatitis, hereditary	608433
OMIA_001318-9615	mixed_breed	SPTB	Elliptocytosis	490734
OMIA_002092-9615	beagle	SPTBN2	Ataxia, spinocerebellar, SPTBN2-related	483706
OMIA_001297-9615	norwegian_elkhound	STK38L	Early retinal degeneration	477663
OMIA_000878-9615	NA	STRN	Arrhythmogenic right ventricular cardiomyopathy	NA
OMIA_001373-9615	greyhound	SUV39H2	Nasal parakeratosis	477995
OMIA_001373-9615	labrador_retriever	SUV39H2	Nasal parakeratosis	477995
OMIA_001975-9615	spanish_water_dog	TECPR2	Neuroaxonal dystrophy, juvenile	490864
OMIA_000546-9615	jack_russell_terrier	TGM1	Ichthyosis	403630
OMIA_002203-9615	chihuahua	TNXB	Ehlers-Danlos syndrome, classic-like, 1	NA
OMIA_002203-9615	poodle	TNXB	Ehlers-Danlos syndrome, classic-like, 1	NA
OMIA_002203-9615	mixed_breed	TNXB	Ehlers-Danlos syndrome, classic-like, 1	NA
OMIA_000536-9615	spanish_water_dog	TPO	Hypothyroidism	101098706
OMIA_000536-9615	tenterfield_terrier	TPO	Hypothyroidism	101098706
OMIA_000536-9615	bulldog_french	TPO	Hypothyroidism	101098706
OMIA_000536-9615	rat_terrier	TPO	Hypothyroidism	101098706
OMIA_000536-9615	toy_fox_terrier	TPO	Hypothyroidism	101098706
OMIA_001472-9615	dachshund	TPP1	Neuronal ceroid lipofuscinosis, 2	485337
OMIA_001467-9615	golden_retriever	tRNA-Tyr	Neuropathy, sensory ataxic	5383389
OMIA_002215-9615	standard_schnauzer	TSEN54	Leukodystrophy, TSEN54-related	NA
OMIA_001984-9615	golden_retriever	TTC8	Golden Retriever PRA 2	480413
OMIA_001001-9615	norfolk_terrier	TUBB1	Thrombocytopaenia	485950
OMIA_001001-9615	king_charles_spaniel	TUBB1	Thrombocytopaenia	485950
OMIA_001431-9615	pomeranian	VDR	Vitamin D-deficiency rickets, type II	486588
OMIA_001947-9615	eurasier	VLDLR	Cerebellar hypoplasia, VLDLR-associated	396154
OMIA_002152-9615	rottweiler	VPS11	Neuroaxonal dystrophy, VPS11-related	489374
OMIA_001428-9615	border_collie	VPS13B	Trapped Neutrophil Syndrome	481981
OMIA_001058-9615	dutch_kooiker	VWF	Von Willebrand disease III	399544
OMIA_001058-9615	scottish_terrier	VWF	Von Willebrand disease III	399544
OMIA_001058-9615	shetland_sheepdog	VWF	Von Willebrand disease III	399544
OMIA_001339-9615	chinese_crested	VWF	Von Willebrand disease II	399544
OMIA_001339-9615	german_shorthair_pointer	VWF	Von Willebrand disease II	399544
OMIA_001339-9615	german_wirehaired_pointer	VWF	Von Willebrand disease II	399544
OMIA_001057-9615	doberman_pinscher	VWF	Von Willebrand disease I	399544
OMIA_001057-9615	kromfohrländer	VWF	Von Willebrand disease I	399544
